SALA 108  Prédio do CCT - 1o. Semestre 2024,,,,,,
Capacidade: 40 alunos,,,,,,
Horário,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO
07:00 - 08:00,,,,,,
08:00 - 09:00,Gestão de Custos Prof. Alcimar,Cálculo Diferencial e Integral I Prof.,Gestão de Custos Prof. Alcimar,Cálculo Diferencial e Integral I Prof.,Cálculo Diferencial e Integral I Prof.,
09:00 - 10:00,,,,,,
10:00 - 11:00,"Princípio, obtenção sinterização... Prof. José Nilson","Princípio, obtenção sinterização... Prof. José Nilson",,,,
11:00 - 12:00,,,,,,
12:00 - 13:00,,,,,,
13:00 - 14:00,,,Éca Profissional,,,
14:00 - 15:00,Física II Prof. Max,Geometria Analíca Prof. Elba,Física II Prof. Max,Geometria Analíca Prof. Elba,,
15:00 - 16:00,,,,,,
16:00 - 17:00,Materiais Eletrônicos Prof. Herval,Física III Prof. José Augusto,Materiais Eletrônicos Prof. Herval,Física III Prof. José Augusto,,
17:00 - 18:00,,,,,,
18:00 - 19:00,Física Moderna II Prof. André Guimarães,Cálculo Diferencial e Integral III Prof.,Física Moderna II Prof. André Guimarães,Cálculo Diferencial e Integral III Prof.,,
19:00 - 20:00,,,,,,
20:00 - 21:00,,,,,,
